HomeTeam,AwayTeam,FTR,HST,AST,HC,AC,HAS,HDS,AAS,ADS,Result
Fiorentina,Cagliari,H,3.0,1.0,6.0,4.0,2.1605911330049263,0.6348993288590604,0.9523489932885906,1.1438423645320197,1
Verona,Empoli,A,3.0,5.0,5.0,8.0,0.8896932606910963,2.8573825503355708,0.9524608501118568,1.1438913351742668,-1
Venezia,Como,D,4.0,4.0,5.0,9.0,0.6355223880597014,1.2696235557212077,0.3174058889303019,0.6355223880597014,0
Ath Bilbao,Villarreal,H,4.0,1.0,3.0,3.0,0.8897030293985972,0.4760760201229737,1.2695360536612632,1.0168034621698254,1
Napoli,Lazio,A,1.0,3.0,6.0,2.0,0.3812891674127126,0.9522638345444383,1.4283957518166575,0.8896747239629961,-1
Osasuna,Alaves,D,8.0,3.0,8.0,3.0,0.8897791703968965,0.9522869119701909,0.3174289706567303,1.3982244106236945,0
St Etienne,Marseille,A,2.0,10.0,0.0,9.0,0.7626435924213039,0.31740709695445657,2.380553227158424,0.5084290616142026,-1
Strasbourg,Reims,D,2.0,3.0,3.0,2.0,1.2712218409667313,1.5869261569978583,1.1108483098985007,0.5084887363866926,0
Nantes,Rennes,H,2.0,3.0,5.0,4.0,0.3814113083693868,1.428401154669895,0.1587112394077661,1.3985081306877518,1
Lens,Montpellier,H,4.0,4.0,6.0,3.0,1.0171402998433654,1.9047583573889562,0.3174597262314927,1.0171402998433654,1
Ath Madrid,Sevilla,H,9.0,3.0,5.0,3.0,1.3985233798195242,0.4762454604711798,0.793742434118633,0.8899694235215153,1
Leganes,Sociedad,A,2.0,5.0,5.0,3.0,0.6355774248863043,0.9523366226028672,0.7936138521690561,0.2542309699545217,-1
Leicester,Brighton,D,3.0,7.0,5.0,5.0,1.1441735629613063,1.4282736156351792,1.1108794788273615,1.2713039588458959,0
Venezia,Como,D,4.0,4.0,5.0,9.0,0.5085054043980619,1.269489159765516,0.634744579882758,0.7627581065970928,0
Ath Bilbao,Villarreal,H,4.0,1.0,3.0,3.0,1.0169784601624805,0.3173504512047633,1.2694018048190532,1.0169784601624805,1
Hoffenheim,Freiburg,D,5.0,4.0,6.0,1.0,1.3983009166107758,1.745632151828077,0.15869383198437065,1.3983009166107758,0
Wolfsburg,Mainz,H,5.0,5.0,3.0,5.0,0.7627421758569299,0.9521860465116277,1.4282790697674417,0.0,1
Lens,Montpellier,H,4.0,4.0,6.0,3.0,1.2710071513706793,1.5867199851204317,0.0,0.7626042908224077,1
St Etienne,Marseille,A,2.0,10.0,0.0,9.0,0.7625800685237598,0.3173811959453176,1.9042871756719055,0.5083867123491732,-1
Strasbourg,Reims,D,2.0,3.0,3.0,2.0,1.0168925964546405,1.2694374709437473,0.9520781032078104,0.2542231491136601,0
Nantes,Rennes,H,2.0,3.0,5.0,4.0,0.3813794130791002,1.2695862389586239,0.0,1.3983911812900343,1
Hoffenheim,Freiburg,D,5.0,4.0,6.0,1.0,1.1441870857227974,1.7458856345885638,0.15871687587168762,1.1441870857227974,0
Napoli,Lazio,A,1.0,3.0,6.0,2.0,0.25427464998510574,1.1110449981405726,0.793603570100409,0.7628239499553172,-1
Ath Madrid,Sevilla,H,9.0,3.0,5.0,3.0,1.5258266309204647,0.793622757274333,1.1110718601840661,0.7629133154602323,1
Tottenham,Chelsea,A,5.0,8.0,5.0,10.0,1.0170339487790352,1.11089219330855,2.3804832713754647,0.635646217986897,-1
Leicester,Brighton,D,3.0,7.0,5.0,5.0,1.2711574246371418,1.2692679301374954,1.2692679301374954,1.2711574246371418,0
Fulham,Arsenal,D,2.0,4.0,0.0,6.0,1.2711170648210166,1.7451235370611184,1.9037711313394017,0.8897819453747116,0
Tottenham,Chelsea,A,5.0,8.0,5.0,10.0,0.8898199136776306,1.5865143494009475,2.8557258289217056,0.8898199136776306,-1
Ipswich,Bournemouth,A,5.0,6.0,6.0,13.0,0.38131091436649056,0.7930554266084857,2.061944109182063,1.398140019343799,-1
Osasuna,Alaves,D,8.0,3.0,8.0,3.0,1.0168724892129148,0.9516012252854358,0.6344008168569573,1.525308733819372,0
Ipswich,Bournemouth,A,5.0,6.0,6.0,13.0,0.3813150847961916,0.9515359628770301,2.2202505800464034,1.3981553109193694,-1
Wolfsburg,Mainz,H,5.0,5.0,3.0,5.0,1.0168835998512458,0.7928922705762271,1.4272060870372087,0.5084417999256229,1
Fulham,Arsenal,D,2.0,4.0,0.0,6.0,1.1437876422038815,1.7440816326530613,2.0611873840445267,0.8896126106030188,0
Leganes,Sociedad,A,2.0,5.0,5.0,3.0,0.25418587360594797,1.4270104814024673,1.1098970410908078,0.25418587360594797,-1
Monza,Udinese,A,4.0,3.0,10.0,1.0,0.25421561338289966,0.951186943620178,0.951186943620178,1.1439702602230484,-1
